Ferndale|48.8525|-122.5893|US|Washington|14026
Acme|48.7146|-122.2293|US|Washington|183
White Center|47.5086|-122.348|US|Washington|15300
Fairchild AFB|47.6187|-117.6485|US|Washington|2960
Pacific|47.2611|-122.2507|US|Washington|7184
Glenwood|46.0228|-121.2926|US|Washington|157
Colfax|46.9032|-117.3394|US|Washington|2811
Silvana|48.2018|-122.2459|US|Washington|0
Forks|47.9526|-124.3904|US|Washington|4274
Kirkland|47.6997|-122.2041|US|Washington|88630
Okanogan|48.3671|-119.5784|US|Washington|2571
Kayak Point|48.1387|-122.3342|US|Washington|1693
Union Hill-Novelty Hill|47.6788|-122.0284|US|Washington|22109
Outlook|46.3311|-120.0923|US|Washington|300
Lake Tapps|47.2305|-122.1696|US|Washington|13091
Cohassett Beach|46.8656|-124.1054|US|Washington|712
Tonasket|48.7077|-119.4412|US|Washington|1126
Sunnyside|46.3159|-120.0058|US|Washington|17927
Lakeview|47.3755|-119.5043|US|Washington|881
Carbonado|47.0805|-122.0536|US|Washington|701
Pullman|46.734|-117.1669|US|Washington|33276
Blyn|48.013|-122.9897|US|Washington|22
Brinnon|47.6689|-122.9249|US|Washington|703
Friday Harbor|48.5324|-123.0655|US|Washington|2407
Orchards|45.6888|-122.5305|US|Washington|21299
Purdy|47.3938|-122.6114|US|Washington|1087
Tekoa|47.2247|-117.0732|US|Washington|809
Tanner|47.4813|-121.6921|US|Washington|905
Thorp|47.0656|-120.6709|US|Washington|297
Artondale|47.3024|-122.639|US|Washington|12937
Liberty Lake|47.6687|-117.1032|US|Washington|9893
Cheney|47.4901|-117.5789|US|Washington|12421
Sammamish|47.6019|-122.0419|US|Washington|64548
Cle Elum|47.1946|-120.9553|US|Washington|3768
Fern Prairie|45.637|-122.3963|US|Washington|2611
Waverly|47.338|-117.2312|US|Washington|108
Lakewood|47.1628|-122.5299|US|Washington|60296
Lake Marcel-Stillwater|47.6926|-121.9152|US|Washington|1220
Central Park|46.9705|-123.7018|US|Washington|2741
Bridgeport|48.0063|-119.6737|US|Washington|2555
Raft Island|47.3293|-122.6686|US|Washington|341
Larch Way|47.8429|-122.2527|US|Washington|4117
Lake Bosworth|48.0532|-121.9812|US|Washington|654
Barberton|45.7136|-122.6114|US|Washington|6719
Sekiu|48.2637|-124.3012|US|Washington|50
Brier|47.7922|-122.2734|US|Washington|6884
Spokane|47.6671|-117.433|US|Washington|403043
Fall City|47.5717|-121.9134|US|Washington|1903
Pasco|46.2506|-119.1303|US|Washington|73013
Lyman|48.523|-122.0634|US|Washington|468
Oakville|46.8403|-123.2333|US|Washington|684
Dash Point|47.3131|-122.4153|US|Washington|1007
Herron Island|47.2645|-122.8348|US|Washington|69
West Clarkston-Highland|46.4023|-117.063|US|Washington|5895
Royal City|46.9|-119.6142|US|Washington|2205
Venersborg|45.786|-122.4721|US|Washington|4196
Hoquiam|46.9863|-123.9023|US|Washington|8500
Willapa|46.6755|-123.6648|US|Washington|204
Quilcene|47.8369|-122.9058|US|Washington|432
Freeland|48.0185|-122.5358|US|Washington|1698
McCleary|47.0584|-123.2723|US|Washington|1691
Roosevelt|45.7476|-120.2161|US|Washington|107
Long Beach|46.3559|-124.0556|US|Washington|1413
Trout Lake|45.9976|-121.5291|US|Washington|654
Coulee Dam|47.9688|-118.9761|US|Washington|1079
Swede Heaven|48.2829|-121.7136|US|Washington|1030
Pine Grove|48.6502|-118.6834|US|Washington|111
Langley|48.0337|-122.4084|US|Washington|1124
Sedro-Woolley|48.5113|-122.2321|US|Washington|11838
Hatton|46.7735|-118.8277|US|Washington|101
Entiat|47.678|-120.2175|US|Washington|1223
Bainbridge Island|47.6439|-122.5434|US|Washington|24522
Auburn|47.3041|-122.211|US|Washington|80776
Ocean City|47.0763|-124.162|US|Washington|168
White Swan|46.3769|-120.7382|US|Washington|973
Felida|45.7138|-122.7103|US|Washington|8065
Lacey|47.0458|-122.7934|US|Washington|49748
Gold Bar|47.8566|-121.6927|US|Washington|2301
Clyde Hill|47.6303|-122.218|US|Washington|3318
Upper Elochoman|46.2403|-123.3247|US|Washington|70
Marcus|48.6642|-118.0601|US|Washington|183
Canyon Creek|48.1157|-121.9831|US|Washington|3319
Malone|46.9779|-123.3035|US|Washington|543
Bothell East|47.8064|-122.1844|US|Washington|10424
Yarrow Point|47.6452|-122.2179|US|Washington|1126
Steptoe|47.0075|-117.3502|US|Washington|183
West Richland|46.3115|-119.3997|US|Washington|14596
Orient|48.8637|-118.2059|US|Washington|132
Federal Way|47.309|-122.3359|US|Washington|96690
Pe Ell|46.5712|-123.2982|US|Washington|653
